id,date,company,sector,ticker,title,news_text,sentiment,source,url
news_001,2026-07-01,Apple,Technology,AAPL,Apple reports record quarterly profit,Apple announced record quarterly profit driven by strong iPhone and services revenue.,POSITIVE,Academic example,https://example.invalid/news-001
news_002,2026-07-02,Apple,Technology,AAPL,Apple faces supply chain disruption,Apple warned that supply chain disruptions could pressure margins in the next quarter.,NEGATIVE,Academic example,https://example.invalid/news-002
news_003,2026-07-03,Apple,Technology,AAPL,Apple maintains dividend policy,Apple confirmed it will maintain its current dividend policy without changes.,NEUTRAL,Academic example,https://example.invalid/news-003
news_004,2026-07-04,Microsoft,Technology,MSFT,Microsoft cloud revenue accelerates,Microsoft reported accelerating cloud revenue and improved operating margins.,POSITIVE,Academic example,https://example.invalid/news-004
news_005,2026-07-05,Microsoft,Technology,MSFT,Microsoft faces antitrust scrutiny,Regulators opened a new antitrust review that could affect Microsoft's expansion plans.,NEGATIVE,Academic example,https://example.invalid/news-005
news_006,2026-07-06,Microsoft,Technology,MSFT,Microsoft updates product roadmap,Microsoft published an updated product roadmap without major strategic shifts.,NEUTRAL,Academic example,https://example.invalid/news-006
news_007,2026-07-07,NVIDIA,Semiconductors,NVDA,NVIDIA raises full-year guidance,NVIDIA raised full-year guidance after stronger demand for AI accelerators.,POSITIVE,Academic example,https://example.invalid/news-007
news_008,2026-07-08,Amazon,Consumer Discretionary,AMZN,Amazon reports weaker retail margins,Amazon posted weaker retail margins amid higher logistics and labor costs.,NEGATIVE,Academic example,https://example.invalid/news-008
news_009,2026-07-09,JPMorgan Chase,Financials,JPM,JPMorgan beats earnings expectations,JPMorgan Chase beat earnings expectations with improved credit quality.,POSITIVE,Academic example,https://example.invalid/news-009
news_010,2026-07-10,Bank of America,Financials,BAC,Bank of America increases loan loss provisions,Bank of America increased loan loss provisions and reported lower quarterly profit.,NEGATIVE,Academic example,https://example.invalid/news-010
news_011,2026-07-11,Delta Air Lines,Airlines,DAL,Delta faces rising fuel costs,Delta Air Lines warned that rising fuel costs are pressuring operating cash flow.,NEGATIVE,Academic example,https://example.invalid/news-011
news_012,2026-07-12,United Airlines,Airlines,UAL,United sees strong travel demand,United Airlines reported strong travel demand and higher load factors.,POSITIVE,Academic example,https://example.invalid/news-012
news_013,2026-07-13,NextEra Energy,Utilities,NEE,NextEra expands renewable investments,NextEra Energy announced new renewable investments to expand generation capacity.,POSITIVE,Academic example,https://example.invalid/news-013
news_014,2026-07-14,Duke Energy,Utilities,DUK,Duke Energy reaffirms outlook,Duke Energy reaffirmed its annual outlook without material revisions.,NEUTRAL,Academic example,https://example.invalid/news-014
news_015,2026-07-15,Exxon Mobil,Energy,XOM,Exxon reduces operating expenses,Exxon Mobil reduced operating expenses and improved upstream efficiency.,POSITIVE,Academic example,https://example.invalid/news-015
news_016,2026-07-16,US Market,Market,SPX,S&P 500 closes nearly unchanged,The S&P 500 closed nearly unchanged in a session with low volatility.,NEUTRAL,Academic example,https://example.invalid/news-016
news_017,2026-07-17,US Economy,Macroeconomics,,Fed holds interest rates steady,The Federal Reserve kept interest rates unchanged at the prior meeting level.,NEUTRAL,Academic example,https://example.invalid/news-017
news_018,2026-07-18,NYSE,Market Infrastructure,ICE,NYSE trading volume declines,NYSE reported a decline in trading volume compared with the previous period.,NEGATIVE,Academic example,https://example.invalid/news-018
