id,data,empresa,setor,ticker,titulo,noticia,sentimento,fonte,url
noticia_001,2026-07-01,Petrobras,Petróleo e Gás,PETR4,Petrobras anuncia crescimento do lucro,A Petrobras anunciou crescimento do lucro e melhora dos resultados operacionais no trimestre.,POSITIVE,Exemplo acadêmico,https://example.invalid/noticia-001
noticia_002,2026-07-02,Petrobras,Petróleo e Gás,PETR4,Petrobras registra queda na produção,A produção da Petrobras apresentou queda e ficou abaixo das expectativas do mercado.,NEGATIVE,Exemplo acadêmico,https://example.invalid/noticia-002
noticia_003,2026-07-03,Petrobras,Petróleo e Gás,PETR4,Petrobras mantém plano de investimentos,A Petrobras informou que manterá o plano de investimentos divulgado anteriormente.,NEUTRAL,Exemplo acadêmico,https://example.invalid/noticia-003
noticia_004,2026-07-04,Vale,Mineração,VALE3,Vale aumenta exportações de minério,A Vale aumentou as exportações de minério de ferro e apresentou avanço em sua receita.,POSITIVE,Exemplo acadêmico,https://example.invalid/noticia-004
noticia_005,2026-07-05,Vale,Mineração,VALE3,Vale enfrenta redução nos preços,A queda do preço do minério pressionou as receitas e as margens operacionais da Vale.,NEGATIVE,Exemplo acadêmico,https://example.invalid/noticia-005
noticia_006,2026-07-06,Vale,Mineração,VALE3,Vale divulga produção trimestral,A Vale divulgou os dados de produção do trimestre em linha com sua orientação anual.,NEUTRAL,Exemplo acadêmico,https://example.invalid/noticia-006
noticia_007,2026-07-07,WEG,Bens Industriais,WEGE3,WEG amplia carteira de pedidos,A WEG informou expansão da carteira de pedidos e crescimento das vendas internacionais.,POSITIVE,Exemplo acadêmico,https://example.invalid/noticia-007
noticia_008,2026-07-08,Magazine Luiza,Varejo,MGLU3,Magazine Luiza registra prejuízo,O Magazine Luiza registrou prejuízo e redução das margens no período analisado.,NEGATIVE,Exemplo acadêmico,https://example.invalid/noticia-008
noticia_009,2026-07-09,Itaú Unibanco,Financeiro,ITUB4,Itaú apresenta lucro recorde,O Itaú apresentou lucro recorde e melhora na qualidade de sua carteira de crédito.,POSITIVE,Exemplo acadêmico,https://example.invalid/noticia-009
noticia_010,2026-07-10,Bradesco,Financeiro,BBDC4,Bradesco aumenta provisões,O Bradesco aumentou as provisões para perdas e apresentou redução do resultado trimestral.,NEGATIVE,Exemplo acadêmico,https://example.invalid/noticia-010
noticia_011,2026-07-11,Gol,Transporte Aéreo,GOLL4,Gol enfrenta aumento de custos,A Gol enfrentou aumento dos custos operacionais e pressão sobre o caixa.,NEGATIVE,Exemplo acadêmico,https://example.invalid/noticia-011
noticia_012,2026-07-12,Azul,Transporte Aéreo,AZUL4,Azul registra aumento da demanda,A Azul registrou aumento da demanda por voos e melhora da taxa de ocupação.,POSITIVE,Exemplo acadêmico,https://example.invalid/noticia-012
noticia_013,2026-07-13,Sabesp,Saneamento,SBSP3,Sabesp amplia investimentos,A Sabesp anunciou novos investimentos para ampliar a rede de abastecimento e saneamento.,POSITIVE,Exemplo acadêmico,https://example.invalid/noticia-013
noticia_014,2026-07-14,Copasa,Saneamento,CSMG3,Copasa mantém projeções,A Copasa manteve suas projeções e não anunciou alterações relevantes em seu planejamento.,NEUTRAL,Exemplo acadêmico,https://example.invalid/noticia-014
noticia_015,2026-07-15,Eletrobras,Energia Elétrica,ELET3,Eletrobras reduz despesas,A Eletrobras reduziu despesas operacionais e apresentou melhora de eficiência.,POSITIVE,Exemplo acadêmico,https://example.invalid/noticia-015
noticia_016,2026-07-16,Mercado brasileiro,Mercado,IBOV,Ibovespa encerra sessão estável,O Ibovespa encerrou a sessão próximo da estabilidade em um dia de baixa volatilidade.,NEUTRAL,Exemplo acadêmico,https://example.invalid/noticia-016
noticia_017,2026-07-17,Economia brasileira,Macroeconomia,,Banco Central mantém a Selic,O Banco Central decidiu manter a taxa Selic no patamar definido na reunião anterior.,NEUTRAL,Exemplo acadêmico,https://example.invalid/noticia-017
noticia_018,2026-07-18,B3,Infraestrutura Financeira,B3SA3,Volume negociado na B3 recua,O volume financeiro negociado na B3 apresentou recuo em comparação ao período anterior.,NEGATIVE,Exemplo acadêmico,https://example.invalid/noticia-018
